Original,Stemmed,Lemmatized
loyalties,loyalti,loyalty
fear,fear,fear
don,don,don
problems,problem,problem
skillful,skill,skillful
mixture,mixtur,mixture
bank,bank,bank
bys,by,bys
extortion,extort,extortion
intimidation,intimid,intimidation
negotiation,negoti,negotiation
tickets,ticket,ticket
shores,shore,shore
squarely,squar,squarely
testosterone,testosteron,testosterone
laden,laden,laden
breakers,breaker,breaker
heterosexual,heterosexu,heterosexual
boozing,booz,boozing
nudity,nuditi,nudity
revelry,revelri,revelry
topheavy,topheavi,topheavy
smokin,smokin,smokin
babes,babe,babe
cheerleader,cheerlead,cheerleader
interestingly,interestingli,interestingly
english,english,english
port,port,port
topheavys,topheavi,topheavys
foundation,foundat,foundation
rocked,rock,rocked
mukai,mukai,mukai
orochi,orochi,orochi
yata,yata,yata
mirror,mirror,mirror
crimson,crimson,crimson
dust,dust,dust
settles,settl,settle
comers,comer,comer
realize,realiz,realize
breaths,breath,breath
hordes,hord,horde
menacing,menac,menacing
bone,bone,bone
krome,krome,krome
matrix,matrix,matrix
resolve,resolv,resolve
wachowski,wachowski,wachowski
neos,neo,neos
thomas,thoma,thomas
anderson,anderson,anderson
smith,smith,smith
bullets,bullet,bullet
codes,code,code
shiny,shini,shiny
simpsons,simpson,simpson
homer,homer,homer
marge,marg,marge
bart,bart,bart
lisa,lisa,lisa
springfield,springfield,springfield
vanquish,vanquish,vanquish
parodies,parodi,parody
sims,sim,sims
canvas,canva,canvas
food,food,food
designing,design,designing
fashions,fashion,fashion
careers,career,career
aspirations,aspir,aspiration
recipes,recip,recipe
acquire,acquir,acquire
dimension,dimens,dimension
relationships,relationship,relationship
copperatively,copper,copperatively
importing,import,importing
pathway,pathway,pathway
greatnessor,greatnessor,greatnessor
maxis,maxi,maxi
urbz,urbz,urbz
moved,move,moved
challenged,challeng,challenged
sushi,sushi,sushi
chop,chop,chop
shop,shop,shop
bootleg,bootleg,bootleg
fireworks,firework,firework
promotions,promot,promotion
socials,social,social
influence,influenc,influence
flaunt,flaunt,flaunt
styling,style,styling
velvet,velvet,velvet
ropes,rope,rope
uptown,uptown,uptown
crib,crib,crib
sleeps,sleep,sleep
proportions,proport,proportion
looming,loom,looming
neon,neon,neon
numbers,number,number
tonight,tonight,tonight
wrongly,wrongli,wrongly
accused,accus,accused
stands,stand,stand
owns,own,owns
loyalty,loyalti,loyalty
uncertainty,uncertainti,uncertainty
emerges,emerg,emerges
toronto,toronto,toronto
tim,tim,tim
burtons,burton,burton
christmas,christma,christmas
oogies,oogi,oogies
selicks,selick,selicks
skellington,skellington,skellington
halloween,halloween,halloween
spook,spook,spook
oogie,oogi,oogie
boogie,boogi,boogie
peril,peril,peril
bottom,bottom,bottom
whats,what,whats
crisis,crisi,crisis
garland,garland,garland
clutches,clutch,clutch
guncon2,guncon2,guncon2
tribute,tribut,tribute
wielding,wield,wielding
interaction,interact,interaction
store,store,store
shelves,shelv,shelf
racks,rack,rack
slice,slice,slice
clancys,clanci,clancys
recon,recon,recon
wake,wake,wake
koreas,korea,korea
worst,worst,worst
famines,famin,famine
insidious,insidi,insidious
divert,divert,divert
humanitarian,humanitarian,humanitarian
beef,beef,beef
slowly,slowli,slowly
process,process,process
midst,midst,midst
famine,famin,famine
riots,riot,riot
rocking,rock,rocking
countryside,countrysid,countryside
assumes,assum,assumes
blaming,blame,blaming
seize,seiz,seize
tacit,tacit,tacit
ally,alli,ally
warfighter,warfight,warfighter
2013,2013,2013
implement,implement,implement
iws,iw,iw
satellite,satellit,satellite
devices,devic,device
survivability,surviv,survivability
program,program,program
threats,threat,threat
tested,test,tested
shanghai,shanghai,shanghai
havana,havana,havana
2009,2009,2009
castro,castro,castro
cuba,cuba,cuba
reels,reel,reel
vacuum,vacuum,vacuum
ghosts,ghost,ghost
berets,beret,beret
deployed,deploy,deployed
halt,halt,halt
funded,fund,funded
warlord,warlord,warlord
sabotaging,sabotag,sabotaging
republics,republ,republic
elections,elect,election
lockdown,lockdown,lockdown
bioterrorist,bioterrorist,bioterrorist
escalate,escal,escalate
personally,person,personally
targeted,target,targeted
protecting,protect,protecting
chavez,chavez,chavez
operatives,oper,operative
minimal,minim,minimal
amount,amount,amount
attention,attent,attention
casualties,casualti,casualty
goals,goal,goal
activated,activ,activated
warehouses,warehous,warehouse
cityscapes,cityscap,cityscape
splinter,splinter,splinter
theory,theori,theory
thet,thet,thet
sam,sam,sam
fisher,fisher,fisher
eliminating,elimin,eliminating
perpetrators,perpetr,perpetrator
primary,primari,primary
secondary,secondari,secondary
knife,knife,knife
jammers,jammer,jammer
sc,sc,sc
20k,20k,20k
modular,modular,modular
ironside,ironsid,ironside
andy,andi,andy
amon,amon,amon
tobin,tobin,tobin
spies,spi,spy
mercs,merc,mercs
pandora,pandora,pandora
tomorrow,tomorrow,tomorrow
disposal,dispos,disposal
climb,climb,climb
doorways,doorway,doorway
functions,function,function
sonar,sonar,sonar
sensors,sensor,sensor
divides,divid,divide
parameters,paramet,parameter
hawks,hawk,hawk
continuous,continu,continuous
skating,skate,skating
bmx,bmx,bmx
biking,bike,biking
waiting,wait,waiting
skate,skate,skate
skater,skater,skater
skateboarder,skateboard,skateboarder
hawk,hawk,hawk
190,190,190
progressively,progress,progressively
skateboarding,skateboard,skateboarding
skaters,skater,skater
definitive,definit,definitive
departure,departur,departure
board,board,board
skateparks,skatepark,skateparks
uphold,uphold,uphold
hands,hand,hand
kang,kang,kang
syndicates,syndic,syndicate
luxoflux,luxoflux,luxoflux
corp,corp,corp
skin,skin,skin
cosmi,cosmi,cosmi
meiwaku,meiwaku,meiwaku
mischief,mischief,mischief
allowed,allow,allowed
reached,reach,reached
maturity,matur,maturity
chooses,choos,chooses
wrecking,wreck,wrecking
coco,coco,coco
scanning,scan,scanning
microphone,microphon,microphone
snowball,snowbal,snowball
hitting,hit,hitting
panic,panic,panic
maker,maker,maker
response,respons,response
mason,mason,mason
service,servic,service
appalled,appal,appalled
g18,g18,g18
granted,grant,granted
emergency,emerg,emergency
services,servic,service
department,depart,department
paramedics,paramed,paramedic
property,properti,property
rocksteady,rocksteadi,rocksteady
marshall,marshal,marshall
definition,definit,definition
televisions,televis,television
van,van,van
helsing,hels,helsing
jackman,jackman,jackman
backstory,backstori,backstory
transylvania,transylvania,transylvania
frankenstein,frankenstein,frankenstein
igor,igor,igor
jekyll,jekyl,jekyll
useful,use,useful
tool,tool,tool
saffire,saffir,saffire
smackdown,smackdown,smackdown
thqs,thq,thqs
buried,buri,buried
casket,casket,casket
wrestler,wrestler,wrestler
stamina,stamina,stamen
streamlined,streamlin,streamlined
link,link,link
yukes,yuke,yukes
knocks,knock,knock
snot,snot,snot
smackfest,smackfest,smackfest
movesets,moveset,movesets
shut,shut,shut
mouth,mouth,mouth
corner,corner,corner
hulk,hulk,hulk
hogan,hogan,hogan
undisputed,undisput,undisputed
triple,tripl,triple
tensions,tension,tension
y2js,y2j,y2js
blares,blare,blare
grabs,grab,grab
boo,boo,boo
chant,chant,chant
backstage,backstag,backstage
layeth,layeth,layeth
smacketh,smacketh,smacketh
mcmahon,mcmahon,mcmahon
stacy,staci,stacy
keibler,keibler,keibler
phenom,phenom,phenom
wrestlers,wrestler,wrestler
peripherals,peripher,peripheral
2003s,2003,2003s
slobber,slobber,slobber
knocker,knocker,knocker
parking,park,parking
brawl,brawl,brawl
epics,epic,epic
merged,merg,merged
sangokushi,sangokushi,sangokushi
periods,period,period
followers,follow,follower
♥,♥,♥
cute,cute,cute
appease,appeas,appease
cousins,cousin,cousin
jude,jude,jude
maverick,maverick,maverick
invaders,invad,invader
hex,hex,hex
entries,entri,entry
manipulate,manipul,manipulate
xseed,xseed,xseed
capo,capo,capo
bronco,bronco,bronco
outskirts,outskirt,outskirt
youths,youth,youth
dean,dean,dean
rebecca,rebecca,rebecca
streisand,streisand,streisand
golem,golem,golem
falling,fall,falling
disbelief,disbelief,disbelief
grows,grow,grows
clenched,clench,clenched
recollection,recollect,recollection
inspires,inspir,inspires
hopes,hope,hope
helping,help,helping
regain,regain,regain
collision,collis,collision
detection,detect,detection
jostle,jostl,jostle
prepare,prepar,prepare
header,header,header
slide,slide,slide
tackles,tackl,tackle
backwards,backward,backwards
fakes,fake,fake
furthers,further,furthers
tighter,tighter,tighter
hallmark,hallmark,hallmark
worms,worm,worm
unchanged,unchang,unchanged
relying,reli,relying
judge,judg,judge
trajectory,trajectori,trajectory
inflict,inflict,inflict
bazookas,bazooka,bazooka
sheep,sheep,sheep
landscapes,landscap,landscape
team17,team17,team17
assuming,assum,assuming
gambit,gambit,gambit
brotherhood,brotherhood,brotherhood
extinction,extinct,extinction
confrontation,confront,confrontation
humankind,humankind,humankind
faced,face,faced
x3,x3,x3
nightcrawler,nightcrawl,nightcrawler
iceman,iceman,iceman
hydra,hydra,hydra
narrative,narr,narrative
chris,chri,chris
claremont,claremont,claremont
xenosaga,xenosaga,xenosaga
sprach,sprach,sprach
zarathustra,zarathustra,zarathustra
shion,shion,shion
gnosis,gnosi,gnosis
phenomenon,phenomenon,phenomenon
monoliths,monolith,monolith
xenosagas,xenosaga,xenosagas
specialization,special,specialization
diversification,diversif,diversification
xeno,xeno,xeno
bible,bibl,bible
xiaolin,xiaolin,xiaolin
monk,monk,monk
shen,shen,shen
gong,gong,gong
wu,wu,wu
omi,omi,omi
globetrotting,globetrot,globetrotting
possessor,possessor,possessor
spicer,spicer,spicer
robots,robot,robot
witch,witch,witch
wuya,wuya,wuya
superb,superb,superb
wb,wb,wb
yakuza,yakuza,yakuza
society,societi,society
regard,regard,regard
traits,trait,trait
kiryu,kiryu,kiryu
kazuma,kazuma,kazuma
rebuilding,rebuild,rebuilding
serving,serv,serving
term,term,term
spiraling,spiral,spiraling
haruka,haruka,haruka
unravels,unravel,unravels
toshihiro,toshihiro,toshihiro
nagoshi,nagoshi,nagoshi
collaborating,collabor,collaborating
author,author,author
seishu,seishu,seishu
hase,hase,hase
chairman,chairman,chairman
tojo,tojo,tojo
retires,retir,retires
successor,successor,successor
allied,alli,allied
travelling,travel,travelling
stave,stave,stave
clans,clan,clan
zatch,zatch,zatch
bell,bell,bell
mamodo,mamodo,mamodo
tio,tio,tio
dialogue,dialogu,dialogue
random,random,random
makoto,makoto,makoto
raikutoei,raikutoei,raikutoei
hundred,hundr,hundred
winner,winner,winner
problem,problem,problem
applies,appli,applies
konjiki,konjiki,konjiki
gashbell,gashbel,gashbell
yuujou,yuujou,yuujou
18700,18700,18700
divisions,divis,division
barcelona,barcelona,barcelona
milan,milan,milan
liverpool,liverpool,liverpool
exhibition,exhibit,exhibition
transfer,transfer,transfer
controler,control,controler
